video_id,duration_min,time_since_upload_days,upload_year,upload_month,upload_dow,upload_hour,tags_count,desc_length,has_links_in_desc,views_per_day,target_views,target_views_log,target_views_per_day,target_views_per_day_log,target_engagement,title__nan,title__nan nan
94XBcesxLWo,,,,,,,0,0,0,,,,,,,3,2
f2I8sbXrPnA,,,,,,,0,0,0,,,,,,,3,2
T782E3tA1J0,,,,,,,0,0,0,,,,,,,3,2
bvHIpIO5la4,,,,,,,0,0,0,,,,,,,3,2
oHpSfmbdaLM,,,,,,,0,0,0,,,,,,,3,2
iV9834W8rrI,,,,,,,0,0,0,,,,,,,3,2
i7E2eO7DO3w,,,,,,,0,0,0,,,,,,,3,2
oBXSvS2QKxU,,,,,,,0,0,0,,,,,,,3,2
r77umNwvRKU,,,,,,,0,0,0,,,,,,,3,2
XJWQLq1oPAc,,,,,,,0,0,0,,,,,,,3,2
GzExS7WybJg,,,,,,,0,0,0,,26152541.0,17.079456952163778,,,0.0,3,2
v2-OP8GvYUo,,,,,,,0,0,0,,,,,,,3,2
rKZyFWnPxA4,,,,,,,0,0,0,,,,,,,3,2
qN_ecsamhms,,,,,,,0,0,0,,,,,,,3,2
dukNdSgaLtc,,,,,,,0,0,0,,,,,,,3,2
YiVrIPUZAI0,,,,,,,0,0,0,,,,,,,3,2
WQ4tT8GdWxY,,,,,,,0,0,0,,,,,,,3,2
PXE_PUr4MQw,,,,,,,0,0,0,,,,,,,3,2
H_z0t5NQs7U,,,,,,,0,0,0,,,,,,,3,2
hPwOK6fdvVA,,,,,,,0,0,0,,,,,,,3,2
DUzQadS3aJ0,,,,,,,0,0,0,,,,,,,3,2
SPysM9mV1jM,,,,,,,0,0,0,,,,,,,3,2
HOqQXM7pOUc,,,,,,,0,0,0,,,,,,,3,2
hTHMF_OT9xs,,,,,,,0,0,0,,,,,,,3,2
y4055R1FopA,,,,,,,0,0,0,,,,,,,3,2
gUK83B2Po8A,,,,,,,0,0,0,,,,,,,3,2
QhBoFEq0lU0,,,,,,,0,0,0,,,,,,,3,2
CSOsK6Dy58U,,,,,,,0,0,0,,,,,,,3,2
9M4jZuqdw04,,,,,,,0,0,0,,,,,,,3,2
O_stmaXMIiI,,,,,,,0,0,0,,,,,,,3,2
lmHDu3K3woM,,,,,,,0,0,0,,,,,,,3,2
2AH5t_o7lmg,,,,,,,0,0,0,,,,,,,3,2
4fWLbK1b88M,,,,,,,0,0,0,,,,,,,3,2
IU3yBo2szD8,,,,,,,0,0,0,,,,,,,3,2
FTzG5mKFVv0,,,,,,,0,0,0,,,,,,,3,2
UJs6__K7gSY,,,,,,,0,0,0,,,,,,,3,2
8EM7btM7-XQ,,,,,,,0,0,0,,,,,,,3,2
PUnqVrfZRdY,,,,,,,0,0,0,,,,,,,3,2
OcWONxkfMqw,,,,,,,0,0,0,,,,,,,3,2
487VEwuEycI,,,,,,,0,0,0,,,,,,,3,2
7NOSDKb0HlU,,,,,,,0,0,0,,,,,,,3,2
rLT903puA2A,,,,,,,0,0,0,,,,,,,3,2
Jzk0g977Hns,,,,,,,0,0,0,,,,,,,3,2
32sPcsb9ClQ,,,,,,,0,0,0,,,,,,,3,2
00DvaPstcpo,,,,,,,0,0,0,,,,,,,3,2
-YlmnPh-6rE,,,,,,,0,0,0,,,,,,,3,2
Bl_12rhz7jk,,,,,,,0,0,0,,,,,,,3,2
KjhX-BZ0LmQ,,,,,,,0,0,0,,,,,,,3,2
HoPrA8Hx01A,,,,,,,0,0,0,,,,,,,3,2
kCkD08X5leA,,,,,,,0,0,0,,,,,,,3,2
DjsBEFhecDw,,,,,,,0,0,0,,,,,,,3,2
ROlAhN2ExyY,,,,,,,0,0,0,,,,,,,3,2
r66DA3OpA60,,,,,,,0,0,0,,,,,,,3,2
GnIp_J2YRuM,,,,,,,0,0,0,,,,,,,3,2
MHozrkkJQyQ,,,,,,,0,0,0,,,,,,,3,2
hLDFfql3nEQ,,,,,,,0,0,0,,,,,,,3,2
bMNlS29oMlI,,,,,,,0,0,0,,,,,,,3,2
1nXZSboSoI0,,,,,,,0,0,0,,,,,,,3,2
o9zcovwPYVg,,,,,,,0,0,0,,,,,,,3,2
dQCHTmQiy7Q,,,,,,,0,0,0,,,,,,,3,2
W0--lTnDEgQ,,,,,,,0,0,0,,,,,,,3,2
ZHzTI5YCksY,,,,,,,0,0,0,,,,,,,3,2
5mpxydyslxI,,,,,,,0,0,0,,,,,,,3,2
38fhj9tFfAQ,,,,,,,0,0,0,,,,,,,3,2
25U2QboBM7M,,,,,,,0,0,0,,,,,,,3,2
v3poTL1iqPQ,,,,,,,0,0,0,,,,,,,3,2
vsWxs1tuwDk,,,,,,,0,0,0,,,,,,,3,2
R-fo9aa0HpE,,,,,,,0,0,0,,,,,,,3,2
tIjUfo30r4M,,,,,,,0,0,0,,,,,,,3,2
s9LvLk-u9LA,,,,,,,0,0,0,,,,,,,3,2
_qbybC6_0jo,,,,,,,0,0,0,,,,,,,3,2
XI-a43SlUmc,,,,,,,0,0,0,,,,,,,3,2
LoTgkopG70g,,,,,,,0,0,0,,,,,,,3,2
0jNCl0s4784,,,,,,,0,0,0,,,,,,,3,2
_TRpMdwDE3c,,,,,,,0,0,0,,,,,,,3,2
yebNIHKAC4A,,,,,,,0,0,0,,,,,,,3,2
983bBbJx0Mk,,,,,,,0,0,0,,,,,,,3,2
r0e_rn2BQGo,,,,,,,0,0,0,,,,,,,3,2
WsEo_cUB890,,,,,,,0,0,0,,,,,,,3,2
txiZJUSS_Ec,,,,,,,0,0,0,,,,,,,3,2
34DuBhyBkDU,,,,,,,0,0,0,,,,,,,3,2
cNxOJLAV69w,,,,,,,0,0,0,,,,,,,3,2
